[Header]
TITLE,Addenda Pate thermique
BYAPP,HeatCapacity,3.5.4,1.5
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.5.4 Build 1,APPNAME
DATATYPE,TIME,1
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),PPMS Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
17961763.66,5905,19.96,20.1326,-0.137,0.0002867,20.198598,0.40971198,110.01456,0.2335,79.600976,0.1199,189.61553,0.2335,21.713227,5.7782144,0.023156541,98.36332,0,0,1,,,,3.3E-5,11.41408,407.98335,5.4466433,0
17961823.16,5905,19.9703,20.1508,-0.137,0.0003043,20.214733,0.41123776,110.20305,0.2322,79.7385,0.1204,189.94155,0.2322,4.5004654,5.7736657,0.022361742,98.417979,0,0,1,,,,3.3077E-5,11.55643,408.63541,5.4516207,0
17962242.31,5905,22.9984,23.1085,-0.137,0.0003007,23.23483,0.45420133,171.18247,0.3088,107.02291,0.1516,278.20538,0.3088,15.996716,7.5422719,0.027225074,98.480538,0,0,1,,,,3.7102E-5,13.88486,539.85732,7.3674942,0
17962319.89,5905,23.0032,23.1009,-0.137,0.0002867,23.254705,0.47711541,171.59144,0.3115,107.19784,0.1519,278.78928,0.3115,38.748784,7.4899505,0.024029355,98.648752,0,0,1,,,,3.7416E-5,15.08454,540.7813,7.3787838,0
17962398.73,5905,23.0033,23.0985,-0.137,0.0002971,23.254276,0.47574038,171.43957,0.3073,107.19077,0.1519,278.63034,0.3073,11.393453,7.4718183,0.023355289,98.683619,0,0,1,,,,3.748E-5,14.9799,540.76133,7.3723892,0
17962743.09,5905,24.9843,25.0848,-0.137,0.0002936,25.213883,0.46534527,218.6798,0.4406,126.89115,0.19,345.57095,0.4406,0.84371247,8.8741724,0.032082242,98.448811,0,0,1,,,,3.9188E-5,14.94364,635.73989,8.6729918,0
17962828.08,5905,24.9936,25.0931,-0.137,0.0003154,25.258286,0.52329943,220.33066,0.4089,127.32065,0.191,347.6513,0.4089,21.182292,8.8087654,0.027185922,98.673719,0,0,1,,,,3.968E-5,17.74834,637.98101,8.723104,0
17962914,5905,24.9975,25.0944,-0.137,0.0003007,25.263645,0.51996006,220.22944,0.3974,127.37011,0.1911,347.59955,0.3974,39.844504,8.7694206,0.02596769,98.727635,0,0,1,,,,3.9843E-5,17.61753,638.25174,8.7172474,0
17963305.36,5905,26.9776,27.169,-0.137,0.0002833,27.230225,0.50917852,274.10014,0.5847,148.56195,0.2459,422.66209,0.5847,0.44472648,10.297183,0.036475295,98.449691,0,0,1,,,,4.1319E-5,17.53884,741.48518,10.066025,0
17963400.42,5905,27.0031,27.1701,-0.137,0.0002936,27.2857,0.56773172,276.04948,0.5194,149.14078,0.2476,425.19026,0.5194,38.054575,10.253073,0.033132993,98.584023,0,0,1,,,,4.1721E-5,20.59437,744.50944,10.117002,0
