[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507057002.734,,4.200000e+001,2.999996e+002,3.354726e-002,1.199546e-006,3,9.902655e-001,3.575691e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507057124.599,,4.000000e+001,2.999964e+002,3.334241e-002,1.506934e-006,3,9.902561e-001,4.519571e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507057250.689,,3.800000e+001,3.000013e+002,3.311573e-002,1.536920e-006,3,9.902317e-001,4.641059e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507057372.912,,3.600000e+001,3.000012e+002,3.289418e-002,3.817832e-007,3,9.901840e-001,1.160641e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.880859e-002,0.000000e+000,0,,0,
1507057493.646,,3.400000e+001,2.999964e+002,3.266900e-002,9.140484e-007,3,9.901403e-001,2.797907e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507057614.396,,3.200000e+001,3.000060e+002,3.241807e-002,1.437721e-006,3,9.900915e-001,4.434937e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507057735.958,,3.000000e+001,3.000012e+002,3.216898e-002,1.521860e-006,3,9.900747e-001,4.730830e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507057856.722,,2.800000e+001,2.999964e+002,3.189376e-002,8.531362e-007,3,9.900320e-001,2.674931e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507057983.760,,2.600000e+001,2.999964e+002,3.160649e-002,1.869177e-006,3,9.900005e-001,5.913903e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507058104.221,,2.400000e+001,2.999980e+002,3.132643e-002,3.417637e-007,3,9.899759e-001,1.090975e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
