Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12010696.35,299.99809265,4400.009,1000,9.998732753137,,7.25418371858386E-8,0.000150480188110734,4.12411067229707E-8,0.000150480193762072,0.0157026737418434,-1.52951670185574E-8,4.42558798222692E-10,1.5301568299212E-8,178.342634732117,333,5,5,13.4965986394558,0.757658162977266,0.000230293454997336,4369,0,299.9890747,300.0071106,4400.009,4400.009,,296.984625,,,,,,,,,,,,,,,,,,,,,,,299.99809265
,12010709.88,299.99658205,4400.009,,,1.24651426174613,0.000205283717078484,,,,,,,,,1,5,0,2.14100000448525,0.757658162977266,0.00671445444603046,4369,0,299.9860535,300.0071106,4400.009,4400.009,0.742384468877897,296.9644,,,,,,,,,,,,,,,,,,,,,,,299.99658205
,12010772.15,299.9983558625,4599.898,1000,9.99861161313192,,7.83494698154251E-8,0.000141149283638916,7.93607285471218E-8,0.000141149305949071,0.0322143634630641,-1.52954290356011E-8,4.42580215875127E-10,1.53018308261003E-8,178.342582945481,333,5,5,13.4965986394558,0.757658162977266,0.000226654046582137,4369,0,299.9791565,300.0062561,4599.898,4599.898,,296.906525,,,,,,,,,,,,,,,,,,,,,,,299.9983558625
,12010785.81,299.98509215,4599.898,,,1.25041589069929,0.000204464586620196,,,,,,,,,1,5,0,2.31200025882572,0.757658162977266,0.00674613629486018,4369,0,299.9790649,299.9911194,4599.898,4599.898,0.74101412553617,296.94735,,,,,,,,,,,,,,,,,,,,,,,299.98509215
,12010848.04,299.9842643875,4800.09,1000,9.99862866433294,,7.5354167469054E-8,0.000133190626424655,1.14074820342682E-7,0.000133190675275924,0.0490725536145382,-1.52954488020763E-8,4.42585829002602E-10,1.53018507466571E-8,178.342564077356,333,5,5,13.4965986394558,0.757658162977266,0.000223641846861983,4369,0,299.9660645,300.0052185,4800.09,4800.09,,296.83285,,,,,,,,,,,,,,,,,,,,,,,299.9842643875
,12010861.63,299.9751129,4800.09,,,1.25384132888149,0.000201714965784604,,,,,,,,,1,5,0,2.23400015383959,0.757658162977266,0.00684292405924752,4369,0,299.9691162,299.9811096,4800.09,4800.09,0.740836921864884,296.8533,,,,,,,,,,,,,,,,,,,,,,,299.9751129
,12010923.98,299.9805336125,5000.069,1000,9.99861676352495,,7.37089337941551E-8,0.00012633170804983,2.2987563113032E-7,0.00012633191719274,0.104256398838166,-1.5295506157724E-8,4.42415801015085E-10,1.53019031614359E-8,178.343206668036,333,5,5,13.4965986394558,0.757658162977266,0.000220865349772451,4369,0,299.9711304,299.9891968,5000.069,5000.069,,296.894925,,,,,,,,,,,,,,,,,,,,,,,299.9805336125
,12010937.55,299.97415165,5000.069,,,1.25504470399434,0.000204787315384613,,,,,,,,,1,5,0,2.28099999949336,0.757658162977266,0.00668488442233671,4369,0,299.9711304,299.9771729,5000.069,5000.069,0.742941724631566,296.9057,,,,,,,,,,,,,,,,,,,,,,,299.97415165
,12010999.83,299.95620345,5200.144,1000,9.99877103073963,,6.07530424788077E-8,0.000120344422408896,2.74260367941066E-7,0.000120344734922971,0.130574679340399,-1.52952458380632E-8,4.42594118510995E-10,1.53016481073292E-8,178.342511069467,333,5,5,13.4965986394558,0.757658162977266,0.000218536288185117,4369,0,299.9298706,299.9810486,5200.144,5200.144,,296.9221875,,,,,,,,,,,,,,,,,,,,,,,299.95620345
,12011013.36,299.96899415,5200.144,,,1.2578283357282,0.0002049703864517,,,,,,,,,1,5,0,2.18799985013902,0.757658162977266,0.00675258839139581,4369,0,299.9569397,299.9810486,5200.144,5200.144,0.743402434547261,296.98375,,,,,,,,,,,,,,,,,,,,,,,299.96899415
,12011075.75,299.9594497625,5399.924,1000,9.99888282039538,,5.95144582947025E-8,0.000115018878790832,2.92408013971835E-7,0.000115019250478982,0.145660513986885,-1.52950053853998E-8,4.42404387284264E-10,1.53014022684621E-8,178.343195173964,333,5,5,13.4965986394558,0.757658162977266,0.000216275140915081,4369,0,299.9489136,299.9639587,5399.924,5399.924,,296.8948625,,,,,,,,,,,,,,,,,,,,,,,299.9594497625
,12011089.33,299.97610475,5399.924,,,1.25990943747704,0.000204407052425003,,,,,,,,,1,5,0,2.21900010947138,0.757658162977266,0.00676033585153375,4369,0,299.9640503,299.9881592,5399.924,5399.924,0.741930733650541,296.92955,,,,,,,,,,,,,,,,,,,,,,,299.97610475
,12011151.61,299.9605941875,5600.126,1000,9.99852754262555,,6.29024338851791E-8,0.000110327279991033,3.38996259375799E-7,0.000110327800796915,0.176048877573009,-1.52952765883676E-8,4.4266149757817E-10,1.53016807938248E-8,178.342262210548,333,5,5,13.4965986394558,0.757658162977266,0.000214081907962343,4369,0,299.947052,299.9711304,5600.126,5600.126,,296.8902125,,,,,,,,,,,,,,,,,,,,,,,299.9605941875
,12011165.14,299.9771576,5600.126,,,1.26257427795139,0.000202654654817967,,,,,,,,,1,5,0,2.249999740161,0.757658162977266,0.00676893619015195,4369,0,299.9651184,299.9891968,5600.126,5600.126,0.742095133631668,296.92815,,,,,,,,,,,,,,,,,,,,,,,299.9771576
,12011220.73,299.9930114625,5799.906,1000,9.9985972575107,,4.88116915939268E-8,0.000106135747392915,3.6281226070812E-7,0.000106136367506097,0.195857953944926,-1.52951160227975E-8,4.42689202564952E-10,1.53015210969663E-8,178.342141121088,333,5,5,13.4965986394558,0.757658162977266,0.000212491913945604,4369,0,299.9802246,300.0103149,5799.906,5799.906,,296.8774125,,,,,,,,,,,,,,,,,,,,,,,299.9930114625
,12011234.15,299.9877472,5799.906,,,1.26404050824173,0.000203672578633551,,,,,,,,,1,5,0,2.21899948082864,0.757658162977266,0.00676150281452228,4369,0,299.9862366,299.9892578,5799.906,5799.906,0.742845105308062,296.8972,,,,,,,,,,,,,,,,,,,,,,,299.9877472
